t_s,H,n_kpts,rms_m,source
2757.0,"[[0.006030205677352634, -0.048527891161382605, 19.619274066906186], [-0.0020949090013464753, 0.0331456067546386, -9.910533576393531], [4.130619019545146e-05, -0.0016168415205985824, 0.9999999999999999]]",8,1.32,model
2758.0,"[[0.005532097658372786, -0.046409687414874244, 18.58973553060386], [-0.0014888659887818325, 0.025399707579519253, -7.236799097950778], [4.79994417076609e-05, -0.001696747860524486, 1.0]]",7,0.51,model
2759.0,"[[0.006432213654662006, -0.05283664662424752, 21.855477713737816], [-0.002891304157886189, 0.04545048958722612, -14.188984997472714], [8.743730001775375e-06, -0.001452977345216654, 1.0]]",8,1.22,model
2760.0,"[[0.006300764186764099, -0.04925443564402433, 22.46276076991813], [-0.0016576411805187723, 0.032846644555642616, -10.390465872681803], [4.5537114705385104e-05, -0.0015926088334495873, 1.0]]",11,0.95,model
2761.0,"[[0.0047831367068139835, -0.0467174802842529, 24.11258327092716], [-0.00020609962937005966, 0.033447412001607314, -12.676690801588917], [-2.8569826988868424e-05, -0.00152392846873257, 1.0]]",16,0.75,model
2762.0,"[[0.0018568679126162507, -0.04663858575435237, 27.377690553835734], [0.0005325403212046147, 0.02899472437878742, -11.817504580509166], [-9.520715275071968e-05, -0.0015209559314610117, 1.0]]",14,0.72,model
2763.0,"[[0.003083263517870266, -0.047324163191640616, 27.9703310841766], [0.0005772614179297836, 0.03142975764100034, -12.601194949615527], [-6.949167405593713e-05, -0.0015242837322068249, 1.0]]",13,1.52,model
2764.0,"[[0.0029852900562701706, -0.04729241241412985, 28.002368311627617], [0.0005388592481612516, 0.03094464613154643, -12.411371114460502], [-7.086186409745219e-05, -0.0015242422759424014, 0.9999999999999999]]",13,1.38,model
2765.0,"[[0.0019950892460755803, -0.04612261659736483, 27.81737929007429], [0.0005050683809368475, 0.02992383167451608, -12.11457249932562], [-9.44209292704555e-05, -0.0015026529931335564, 1.0]]",13,0.49,model
2766.0,"[[0.0027608479277247493, -0.04671841458353906, 26.71371519780724], [0.0004489053938240707, 0.029987716282484343, -12.310124823826039], [-7.550632100034557e-05, -0.001507823844538157, 1.0]]",14,0.42,model
2767.0,"[[0.004807090112236985, -0.04717406953383083, 24.417019542594787], [-7.143591662085566e-05, 0.03442048073491434, -13.595472964773574], [-3.150232642124482e-05, -0.0015262397297165335, 1.0]]",16,0.41,model
2768.0,"[[0.006556467154573542, -0.04983814293154138, 23.26399124723516], [-0.0009401566459961402, 0.03566682524359748, -13.068109113589404], [3.371120471910353e-05, -0.0015939152599013665, 1.0]]",14,0.54,model
2769.0,"[[0.006194105056530606, -0.04679805065798338, 20.846280976062797], [-0.002156171432816546, 0.03935969678158204, -12.510084581572952], [-3.1158107365502176e-06, -0.0014418385122745778, 1.0]]",10,1.74,model
2770.0,"[[0.006190582948419397, -0.05012532495191353, 20.360876930081176], [-0.0028638242098303008, 0.0367183634722001, -10.796510042769663], [1.8561568660222254e-05, -0.0015658720506138459, 0.9999999999999999]]",9,1.42,model
2771.0,"[[0.0038674646555553905, -0.038377826576048935, 16.696525683562406], [-0.002389804947608344, 0.02626240922388268, -6.59390049297509], [-5.299935822355362e-05, -0.0013934756578967266, 1.0]]",7,2.61,model
2772.0,,0,,reject
2773.0,,0,,reject
